# SSG Migration Database
# source_lib	source_path	ssg_path	status	module	last_updated	notes	source_sync_commit	last_sync_date
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/StrikethroughRunFormatProvider.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/SubscriptRunFormatProvider.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/SuperscriptRunFormatProvider.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/UnderlineRunFormatProvider.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/XmlDocxSorter.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/XmlFormatter.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/package-info.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-abbreviation/src/main/java/com/vladsch/flexmark/ext/abbreviation/Abbreviation.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-abbreviation/src/main/java/com/vladsch/flexmark/ext/abbreviation/AbbreviationBlock.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-abbreviation/src/main/java/com/vladsch/flexmark/ext/abbreviation/AbbreviationExtension.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-abbreviation/src/main/java/com/vladsch/flexmark/ext/abbreviation/AbbreviationVisitor.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-abbreviation/src/main/java/com/vladsch/flexmark/ext/abbreviation/AbbreviationVisitorExt.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-abbreviation/src/main/java/com/vladsch/flexmark/ext/abbreviation/internal/AbbreviationBlockParser.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-abbreviation/src/main/java/com/vladsch/flexmark/ext/abbreviation/internal/AbbreviationFormatOptions.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-abbreviation/src/main/java/com/vladsch/flexmark/ext/abbreviation/internal/AbbreviationNodeFormatter.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-abbreviation/src/main/java/com/vladsch/flexmark/ext/abbreviation/internal/AbbreviationNodePostProcessor.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-abbreviation/src/main/java/com/vladsch/flexmark/ext/abbreviation/internal/AbbreviationNodeRenderer.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-abbreviation/src/main/java/com/vladsch/flexmark/ext/abbreviation/internal/AbbreviationOptions.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-abbreviation/src/main/java/com/vladsch/flexmark/ext/abbreviation/internal/AbbreviationRepository.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-abbreviation/src/main/java/com/vladsch/flexmark/ext/abbreviation/internal/package-info.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-abbreviation/src/main/java/com/vladsch/flexmark/ext/abbreviation/package-info.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-admonition/src/main/java/com/vladsch/flexmark/ext/admonition/AdmonitionBlock.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-admonition/src/main/java/com/vladsch/flexmark/ext/admonition/AdmonitionExtension.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-admonition/src/main/java/com/vladsch/flexmark/ext/admonition/AdmonitionVisitor.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-admonition/src/main/java/com/vladsch/flexmark/ext/admonition/AdmonitionVisitorExt.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-admonition/src/main/java/com/vladsch/flexmark/ext/admonition/internal/AdmonitionBlockParser.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-admonition/src/main/java/com/vladsch/flexmark/ext/admonition/internal/AdmonitionCollectingVisitor.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-admonition/src/main/java/com/vladsch/flexmark/ext/admonition/internal/AdmonitionNodeFormatter.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-admonition/src/main/java/com/vladsch/flexmark/ext/admonition/internal/AdmonitionNodeRenderer.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-admonition/src/main/java/com/vladsch/flexmark/ext/admonition/internal/AdmonitionOptions.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-admonition/src/main/java/com/vladsch/flexmark/ext/admonition/internal/package-info.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-admonition/src/main/java/com/vladsch/flexmark/ext/admonition/package-info.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-anchorlink/src/main/java/com/vladsch/flexmark/ext/anchorlink/AnchorLink.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-anchorlink/src/main/java/com/vladsch/flexmark/ext/anchorlink/AnchorLinkExtension.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-anchorlink/src/main/java/com/vladsch/flexmark/ext/anchorlink/AnchorLinkVisitor.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-anchorlink/src/main/java/com/vladsch/flexmark/ext/anchorlink/AnchorLinkVisitorExt.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-anchorlink/src/main/java/com/vladsch/flexmark/ext/anchorlink/internal/AnchorLinkNodePostProcessor.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-anchorlink/src/main/java/com/vladsch/flexmark/ext/anchorlink/internal/AnchorLinkNodeRenderer.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-anchorlink/src/main/java/com/vladsch/flexmark/ext/anchorlink/internal/AnchorLinkOptions.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-anchorlink/src/main/java/com/vladsch/flexmark/ext/anchorlink/internal/package-info.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-anchorlink/src/main/java/com/vladsch/flexmark/ext/anchorlink/package-info.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-aside/src/main/java/com/vladsch/flexmark/ext/aside/AsideBlock.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-aside/src/main/java/com/vladsch/flexmark/ext/aside/AsideExtension.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-aside/src/main/java/com/vladsch/flexmark/ext/aside/AsideVisitor.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-aside/src/main/java/com/vladsch/flexmark/ext/aside/AsideVisitorExt.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-aside/src/main/java/com/vladsch/flexmark/ext/aside/internal/AsideBlockParser.java		not_started	ssg-md	2026-03-30			2026-03-30
